Partner ID,Partner,Category
29734,"АО ""Связной Логистика""",Техника и электроника
401315,Регион МСК Север,"Одежда, обувь, аксессуары"
401316,Регион МСК Юг,"Одежда, обувь, аксессуары"
805604,Moshoztorg,"Дом, дача, ремонт"
929390,Санкт-Петербург ГЗ,Красота и здоровье
929405,Москва ГЗ,Красота и здоровье
929406,Московская область ГЗ,Красота и здоровье
929410,Apteka 36.6 Spb,Красота и здоровье
929411,Apteka 36.6 Msk,Красота и здоровье
929412,Apteka 36.6 MO,Красота и здоровье
939761,Московский Метрополитен,Московский Метрополитен
939762,Admitad,Admitad
940754,У Палыча (ИП Алексеева Е.С.),Продукты
944008,У Палыча (ИП Анфимова Л.М.),Продукты
944009,У Палыча (ИП Беляева О.В.),Продукты
944010,У Палыча (ИП Бурякова А.А.),Продукты
944011,У Палыча (ИП Быкова Я.М.),Продукты
944012,У Палыча (ИП Гончаренко Л.В.),Продукты
944013,У Палыча (ИП Горбатов А.В.),Продукты
944014,У Палыча (ИП Кириченко С.И.),Продукты
944015,У Палыча (ИП Колющенко А.П.),Продукты
944016,У Палыча (ИП Колющенко И.В.),Продукты
944017,У Палыча (ИП Кондратюк Е.Ю.),Продукты
944018,У Палыча (ИП Кошелев Е.Н.),Продукты
944019,У Палыча (ИП Кошелева А.Н.),Продукты
944020,У Палыча (ИП Марусев Д.В.),Продукты
944021,У Палыча (ИП Марусева А.А.),Продукты
944022,У Палыча (ИП Марусева Л.М.),Продукты
944023,У Палыча (ИП Рогов О.А.),Продукты
944024,У Палыча (ИП Розентул И.Г.),Продукты
944025,У Палыча (ИП Русин В.О.),Продукты
944026,У Палыча (ИП Сикотинская Е.М.),Продукты
944027,У Палыча (ИП Хотеева О.Б.),Продукты
944028,У Палыча (ИП Шелестова М.Л.),Продукты
944029,У Палыча (ИП Шелестова Н.В.),Продукты
944030,У Палыча (ООО Барбарис),Продукты
944988,OneTwoTrip (ООО Вайт Тревел),Путешествия
945131,Погладь енота (ООО МСК),Развлечения и досуг
945133,Погладь енота (ООО СИО),Развлечения и досуг
945137,Kanzler (ООО Гранпост),"Одежда, обувь, аксессуары"
945145,Елена Фурс (ООО Елена Фурс),"Одежда, обувь, аксессуары"
945158,Pudra (ООО Пудра),Красота и здоровье
948719,French kiss (ООО Френчкисс) b2b,Кафе и рестораны
953357,ПЛ Город,Развлечения и досуг
953856,Tutti Frutti (ООО Тутти Фрутти Лицензиар),Кафе и рестораны
953871,Coffee Bean (ИП Колобова),Кафе и рестораны
954806,Главхимчистка (ООО Главхимчистка),"Дом, дача, ремонт"
955696,Лавка Чудес (ИП Назарова Дарья Викторовна),Товары для детей
956258,Медси (АО Группа компаний Медси),Красота и здоровье
956643,Джелатерия пломбир (ООО ДЖЕЛАТО),Кафе и рестораны
956815,Charmant-beauty (ИП Маланьина Ксения Игоревна),Красота и здоровье
960687,Цирк Танцующих фантанов АКВАМАРИН (ООО Продюсерская компания Аквамарин),Развлечения и досуг
960848,Мегого (ООО Мегого),Развлечения и досуг
961345,Клуб CLUB 18 fight & fitness (ИП Аршавский Сергей Валерьевич),Красота и здоровье
962148,GeekBrains.ru (ООО ГикБреинс),Образование
964451,Coffee Bean (ИП Петрова),Кафе и рестораны
964464,Coffee Bean (ИП Мотясова),Кафе и рестораны
965989,Flowwow (ООО ЭдМод),Цветы и подарки
969578,120/80,Красота и здоровье
969579,AVE,Красота и здоровье
969609,Парк SKAZKA (ООО Парк Сказка),Развлечения и досуг
970249,ИННОПАРК (ООО Инноватор),Товары для детей
970278,Бирхаус (ООО Технология развития),Кафе и рестораны
971135,EATALY (ООО Простор),Кафе и рестораны
971357,BB Burgers (ООО Сретенка ББ),Кафе и рестораны
971405,BB Burgers (ООО Мясницкая ББ),Кафе и рестораны
971413,BB Burgers (ООО Авеню ББ),Кафе и рестораны
973189,Dino Club (ИП Лановской),Развлечения и досуг
973245,Нияма (ООО Биток),Кафе и рестораны
973285,Нияма (ООО Пицца и Суши),Кафе и рестораны
